caseID,verbatim
30,"young, new and fresh"
40, he will make the rest of the world look at us more favorably than McCain
43,I like his style
50,He's into change
53,his age and his intelect
61,he is a minority and his age antusuiasm/  need some one with more energy
73,his views on issues
78,his race or ethnicity
81,a change in the leading party
84,overall he would be a good president
85,what he says sounds good although I am afraid he's just as powerless as any other president
113,he might make a better president
115,i think he will be a good president
116,I feel he has given much thought on how he can help the americsn citizens.He has laid out his economic plans re: healthcare & taxes. He seems like he is really trying to help the middle income barracket. Also he has interest in promoting education at all levels.
128, that he want to nget out of the war
132,inntell  pacension work well w/ poeple
142,the Bush administration was a desaster.
152,his race
156,"i think his is a great addition to him as the first lady, outspoken and self reliant."
162,"he's black, he's a minority,he's alot younger than mccain, he's closer to the younger, more important generation, he appeals to the money demographic, 18-35 male"
180,personable
181,his position on changes he wants to make
188,"i'm hoping that his minroity experience in our society will sway him in his decisions about the majority of people in or society, instead of being concerned woth the elitist society, his minority in economic standards, he will be more sympathetic towards economically challenged individuals, which is the majority in our society.I'm against a small amt. of people having the majority of the wealth, which leads to the majority of controlof decisions in our society, whoi gets what"
197,he likes him becouse he will change america
203,He is kind and represents change other than the Bush
206,"PROMETE COSAS BUENAS OARA LAS PERSONAS JUBILADAS AYUUDA CON EL MEDICRE,"
221,"SOCIAL CHANGE, HE IS FOR ALL PEOPLE. NOT JUST ONE CLASS LIKE THE RICH. HIS VERY MOTIONAL, PEOPLE WILL RESPECT HIM AS A PERSON ESPECIALLY POLITICIAN OF COUNTRY THEY HIGH RESPECT HIM. IS IMPORTANT TO HAVE A PRESIDENT WHO IS RESPECTED  BY OTHER COUNTIES."
234,"i think he would in some ways try and make it better for the little man or people who are disadvantaged. He had to work for everything he accomplished and he knows what it is to struggle, I believe."
246,Think on Public welfare for health Care and taxbreaks.  Possibly with military.  Keep the minumum of troops
251,He has qualities for President and intelligent and answers the questions.  He has charasma. I think he would just take suggestions. Not a a no or yes person.
254,his view on how our future can go. like he leave mud swing out.
259,seems like he is for the people
261,"THAT HE IS FOR THE MIDDLE CLASS,"
272,he wants 2 end the war
281,he really seems to care about the average person including among us low income  and he speaks for the people
284,"unsatisfactory results from the gop,dominaqtion over the past 8 years and non believing in that system. yes we need change"
292,he's a black man positive black man  gives my son something to look forward to
294,i might not always agree with his decisions but i know he would make them after putting a lot of thought and would make informed decisions.
308,"he is another race, i think he is going to do more for the hispanics"
313,i like his new ideas his fresh outlook
314,"at one time not really saying nothing,"
320,some of his family values
341,     like his platform for change
349,i think he has a good head on his shoulders  he hasn't said anything that would make me think revolution  but he has really articulated well thought out ideas brings tears to my eyes because it has been missing in a lot of politicians lately.
350,     his views
354,"fresh, new blood, his positive ideas on change,"
362,feel for local politics/helped his people in the area
371,he seems very inteligent
372,"general whole change, expressed so far housing market, cares about country and where we are headed, change war, gas prices"
374,immigration issues favorable outlook
376,promising change
388,democrat
389,he seems pretty persuavise with his speech
409,not republican
411,"candor, openness, attitude brings to all issues, calm and good demeanor, any issue talked open and and having a plan"
413,"change in force, handle on mid class, education views, help middle class"
430,He wants to get out of Iraq and I like that/
431,"He's definitely suave, but he started out with a militatn approach, someone said he has linlks to the Muslim religion from bird, does he have the ability to be a dictator/"
434,for his enthusiasm. he has many exitos ine his life.
439,"His ideas about changes he wants to make in taxes, his ideas about making change in the war, bringing our people home, health insurance, oil drilling/doing it here in our country instead going to different countries just to get oil, spending money we shoulnd't have to spend when we have the resources here in our country/"
443,"I thinkhe'sa great candidate--woman's rights, gay rights, how the country should be ran, for the people more than the corporations"
446,Because of how new he is/and because he does look at decisions he has to make through the eyes of someone who is a minority/
448,"The change/I htink the little people in this country need to get out of the hole, right now I feel the Republican's are only for the rich./I've always voted more toward the Democrats, that's the biggest reason"
457,his speaches - he remembers martin luther king in his speaches
460,he is younger and has better ideas
461,because he is a democratic  - health insurance is t he key - where he stands on the war
470,i think that he can change the US and our economy.
473,"i think he's a truthful person, and he's trying to change things, i think he can do that more than any others."
480,"i think he is for everyone, and he's looking forward towards the future."
484,"he's black, intelligent, & is for everybody, he's a great man"
491,"he wants to get everybody involved, he's for everybody, he's a good man"
495,"smart as a whip, articulate, he can do the job"
501,"likes the things he says - going to help the poor people b/c he was poor, likes his attitude, very nice guy, good looking"
505,"his passion for the country, time for change, need a democrat back in office,picked an excellent running mate, supports what barack wants to do in regards tothe war, very smart wife"
513,he says he will bring home the troops
525,he is looking for change and maybe he can bring everybody togheter in peace
530,"support abortion rights, his age;"
534,afforab le healthcare
545,"he will give us something different from what we have, willoing to take achance.1"
561,"because of all the things he said he will do for america, like changing the situation in iraq."
566,i like what he stand from and it been the some for 8 years
567, his colar some of the time heard
579, well there is a conple of thing the tax breaks for people the make less then 250.000 the dem are for the poeple and the rep are 4 the rivh
595,nice guy
599,pretty sharp; vp selection;
602,"fresh ideas,"
604,lot of differences when gets in office; lack of religion scares me
626,"change he proposes, possibility to more stabilization, no more ware, no use of our money in war or those things, I think he will change all that."
638,"i THINK THAT HE IS YOUNG, ENTHUSIASTIC, MAYBE IT WILL BE A CHANGE FROM WHAT WE ARE SEEING RIGHT NOW.  THE CHANGE IS THE MOST. HE IS PREPARED, INTELLIGENT, HE HAS CHARISMA, LOTS OF CHARISMA.  I'VE SEEN THAT HE HAS INTEREST IN THE MIDDLE CLASS."
649,"speeches are very touching,"
656,"take a more thoughtfull mapproach to problems, gather experts with a variety of ideas to help him solve these problems, more thoughtful instead of someone doing something without thinking it thru"
664,"his phlosifee is good, we need a change"
678,youth representsthe first afro american canditiate that been put forth for the public has some views that I think are positive
680,he just gets it deffinoitly some rhetoric but he hassexamines the issues he calls j mac not smalll minded he is not just going to let God tell him hot wto run the country not just a dream or aprayer
693,"His platform is a good one, and where he lacks in experience he picked Joe Biden as his running mate,"
696,"He cares about peoples opinion, shows a definate concern for what America has come into and has a definate plan for the resolve, he represents a broader spectrum of the American people and represents the change we need"
702,"He was taking about placing taxes on companies that send jobs overseas, I definatly agree with that, he is for becoming indepdent from foreign oil, he wants to improve education for our country,"
707,trying to make the change for the children better; for the elderly
710,his message
714,"going down on gas prices,helping the economy"
715,he plans to stremline unnecessary spending
718,"he is for the middle income and he seems like is sincere about what he says, he says he is looking out for the everybody not corporations; he does not seem to keep the democrats and republican separate; he seems to want to bring everybody together"
724,no
727,he says he will change things
728,he has medicare mccain doesn't talk about medicare
744,more for gthe little people
746,I have been hearing alot about him making changes I hope he makes it
751,us all over
760,I think he is smart color does not matter I would like to see someone of color succeed
762, he is the dec choice
765,he is a new face; something different; same of old white; not that race has everything to do with it; like he says time for something different; i think he is is smart and intelligent
766,He is a black man.  First black president.  It going to go down in history.
770,He is a young man and he is black.
772,I want to get someone black in office.
774,uH. It's been known for the democrats to work for the middle class people more than the republicans would. X No that's it
807,"He's a democrat, and if I vote, I'll vote democrat. McCain is more like George W. Bush. We don't have much choice, and the people who might run and make a good president, don't have the money to run. He talks more like he might help, then McCain does."
809,"I like the way he performed in the debates; I thought he speaks very well - very intelligent; I agree with many of his views on health care, education and other things."
811,some of the things he has done aee mor truthful
814,"His views on taxes, and that he supports gay relationships."
821,HE SEEMS TO BE A GOOD PERSON INTELECT AND HOPE FOR THE ANERICAN PEOPLE
825,believes in the middle class people and health care
827,he's going to be more fair and something new and more truthful about what needs to be done and not because he's black...wouldn't vote for a dummy if he was black.
839,He says that he's going to help the middle income people.
841,like his idea on ending the war in Iraq and the economy
842,I like his plan for the health insurance and the financial plan and conducts himself very professional
849,making healthcare easier to get and about bringing the troops home and the gas prices
852, he is democrat and stands up for democrats and he is for getting out of iraq sweet talker
858,taxes
890,"He is a person who know how it is to come up poor and he will look out for people who are less fortunate ie jobs, and healthcare"
899,Being in his position and him beging a black man it has been a long time comming
910,he makes valid points about the economy and the future for the up coming genration
918,"his race, his color, lots of people are voting for him because he is black"
920,I believe he is for the small business man and the american people.
925,"he is very educated man, it is time for a change, economy, everything is too high, gas and utility bill are too high, it is time to get paid for what we do, we are under paid"
928,"well, for one thing he says about change, and I feel that he can make a change, I think this is history in the making becasue a black man is up there in the running"
931,cause he is the best candidate
969,like his position on most major issues
973,speaking ability
977,idont believe in him but rather for the hope that he is offering
979,his global worldviews
988,"He is a democratic, I think economy wise we need a democrat, typically I believt that our econmy will pull out this economy"
994,can't pinpoint any one thing
1000,"he would be the first black pres, also, he's a democrat, he has lots of beliefs that I have"
1001,he said he's gonna make everything better;
1005,a different type of message;
1011,"his issues, I like what he stands for, his age,"
1014,"he is for the middle class people, like me, he's trying to come up with ideas for the economy that will aide us, he has people that are experienced and he knows how to find the experience that he needs near him to be an effective president, barack will surround himself with the right people that can advise and give him the rescources to do what's best for the country"
1019,"because you don't have to be rich; mccain don't even know how many houses he has; because he's a democrat; gotta be a change, price of gas is too high"
1024,he was talking about change
