caseID,verbatim
1, DICK CHENEY IS VICE PRESIDENT 
4, HE WORKED FOR GEORGE BUSH FOR SOMETHING 
8, vice president 
10, VICE PRESIDENT 
14, vice president 
18, don't know 
19, VICE PRESIDENT 
28, vice president// 
30, vice president 
32, vice president 
34, vice president 
39, vice president 
46, vice president 
57, congress 
59, don't know 
60, vice president 
65, vice president 
67, vice president 
69, vice president 
72, vice president 
74, i just can't remember today 
76, vice president 
78, vice president 
85, vice president 
90, I know the name but I dk//dk 
92, vice president  
96, something in the government 
101, vice president 
103, I don't know 
106, vice president 
108, vice president 
110, vice president 
114, /representative/ 
117, vice president 
119, vice president 
123, vp? 
125, vice president 
130, vice president 
132, vice president 
134, vice president 
137, vice president 
139, vice president 
144, vice president 
146, vice president 
148, vice president 
149, senate 
151, vice president 
157, vice president 
160, vise-president 
161, don't know// 
162, isn't he gop leader? 
164, don't know 
166, vice president 
167," he's behind the president some where, somewhere in the congree i think "
169, dk 
172, don't know 
176, vice president 
178, vice president 
180, vice president 
182, vice president 
187, i don't know// don't know 
188, vice president 
192, vice president 
194, representative 
195, vice president 
198, vice president 
200, Vice President of US 
201, republican//democratic 
202, vie president 
204, vice president of republican party 
209, vice president 
211, vice president 
216, dont know 
228, he is the vice president/ 
231, DK//NO 
232, VICE PRESIDENT// 
237, vice president 
239, Vice President 
241, dk// vice President 
245, sECRETARY OF dEFENSE 
247, Vice Presiedent 
249, vICE pESIDENT 
253, vice president us  
255, vice president 
257, vice president 
259, vice president 
265, VICE PRESIDENT 
266, FOUR STAR 
268, vice president 
271, vice president 
273, dont know h 
275, vice president of the evil empire 
278, vice president 
279, vice president currently of the united states 
283, vice president unfortunately 
286, congress 
288, vice president 
294, vice president 
302, vice president 
304, vice president 
306, vice president 
308, I don't know 
317, vice president 
320, vice president 
321, i don't pay attention to none of those guys// I don't know 
323," I am not sure, governor "
326,     these questions make me what to research them//no 
327, vice president 
329, vice president 
331, vice president 
339, vice president 
341, vice president-second in command 
343, Vice President 
345, vice president 
347, vice president 
348," not sure, not positive,//don't know "
349, none 
351, republican 
355, vp 
359, vp 
361, vp 
364, dept defense 
366, vp 
382, vice president 
386, vice president 
390, vice president 
393, '//' governor no 
400, vp 
403, vp 
405, master vice president 
406, vp 
408, vp 
410, don't know// no 
413, vp 
414, dk 
415, congress? 
417, dk//dk 
420, vice president 
423, vice president 
425, Vice president 
427, vice presidnet 
428, Vice president 
429, vice president 
431, vice president 
432, vice president 
433, mayor? 
437, vice president 
438, vice president 
440, vice president 
441, dk//dk 
443, dk//dk 
448," congress or foreign affairs of something, I DK "
449, vice president 
451, vice president//no 
454, vice president 
455, vice president 
456, respondent has no clue 
457, representative of conn state 
458, vice president 
460, vice-president 
462, mayor\\no 
464, vice president 
466, congress 
472, vice president 
473, vice president 
478, vice-president 
479, education 
480, i think he's the president's adviser. 
482, republican 
483, vice president 
484, next to bush 
485, vice president 
487, vice president 
488, vice president 
491, don't know 
493, something to bush 
494, i don't know 
495, vice president 
496," R does not know, even when prompted "
497, vice president 
498, is he a character??//R does not recognize name//no  
500, R doesn't know.  she recognizes name but doesn't know what he is or does 
501, DEMOCRAT 
502, doesn't know anything about him.  she is not familiar with him 
503, vice president 
508, vice president 
